captured_at,season,gameweek,code,status,chance,news,price
2026-09-07T13:48:28.061Z,2026-27,4,496208,a,,,4.9
2026-09-07T13:48:28.061Z,2026-27,4,200785,a,100.0,,5.0
2026-09-07T13:48:28.061Z,2026-27,4,111317,a,100.0,,5.0
2026-09-07T13:48:28.061Z,2026-27,4,158499,a,100.0,,5.0
2026-09-07T13:48:28.061Z,2026-27,4,614574,a,,,5.0
2026-09-07T13:48:28.061Z,2026-27,4,489888,i,0.0,Unspecified injury - Unknown return date,4.9
2026-09-07T13:48:28.061Z,2026-27,4,560262,i,0.0,Foot injury - Unknown return date,7.4
2026-09-07T13:48:28.061Z,2026-27,4,444102,a,,,6.0
2026-09-07T13:48:28.061Z,2026-27,4,168636,u,0.0,Has joined Getafe permanently,5.5
2026-09-07T13:48:28.061Z,2026-27,4,561245,a,100.0,,6.0
2026-09-07T13:48:28.061Z,2026-27,4,483067,a,,,5.0
2026-09-07T13:48:28.061Z,2026-27,4,494928,a,,,4.5
2026-09-07T13:48:28.061Z,2026-27,4,523700,a,,,5.0
2026-09-07T13:48:28.061Z,2026-27,4,230650,a,,,4.5
2026-09-07T13:48:28.061Z,2026-27,4,200720,a,,,5.0
2026-09-07T13:48:28.061Z,2026-27,4,507433,a,,,4.5
2026-09-07T13:48:28.061Z,2026-27,4,432830,d,25.0,Calf injury - 25% chance of playing,5.5
2026-09-07T13:48:28.061Z,2026-27,4,444765,i,0.0,Groin injury - Unknown return date,4.9
2026-09-07T13:48:28.061Z,2026-27,4,249231,a,,,5.5
2026-09-07T13:48:28.061Z,2026-27,4,191866,a,,,4.5
2026-09-07T13:48:28.061Z,2026-27,4,607464,a,,,4.6
2026-09-07T13:48:28.061Z,2026-27,4,194010,a,,,4.5
2026-09-07T13:48:28.061Z,2026-27,4,472713,a,,,4.5
2026-09-07T13:48:28.061Z,2026-27,4,570241,a,,,4.5
2026-09-07T13:48:28.061Z,2026-27,4,513086,a,,,4.5
2026-09-07T13:48:28.061Z,2026-27,4,513418,a,,,6.0
2026-09-07T13:48:28.061Z,2026-27,4,533463,a,,,6.4
2026-09-07T13:48:28.061Z,2026-27,4,440089,a,,,5.5
2026-09-07T13:48:28.061Z,2026-27,4,207283,i,0.0,Unspecified injury - Expected back 18 Sep,5.5
2026-09-07T13:48:28.061Z,2026-27,4,204580,a,,,5.0
2026-09-07T13:48:28.061Z,2026-27,4,543295,i,0.0,Knee injury - Unknown return date,5.0
2026-09-07T13:48:28.061Z,2026-27,4,244858,a,100.0,,5.0
2026-09-07T13:48:28.061Z,2026-27,4,508395,a,,,4.9
2026-09-07T13:48:28.061Z,2026-27,4,183656,i,0.0,Hamstring injury - Expected back 10 Oct,5.0
2026-09-07T13:48:28.061Z,2026-27,4,444180,a,,,6.0
2026-09-07T13:48:28.061Z,2026-27,4,502500,a,,,7.9
2026-09-07T13:48:28.061Z,2026-27,4,593174,a,,,4.5
2026-09-07T13:48:28.061Z,2026-27,4,75115,a,,,5.5
2026-09-07T13:48:28.061Z,2026-27,4,513545,a,,,5.7
2026-09-07T13:48:28.061Z,2026-27,4,613804,a,,,4.5
2026-09-07T13:48:28.061Z,2026-27,4,489639,a,,,4.5
2026-09-07T13:48:28.061Z,2026-27,4,49262,a,,,4.0
2026-09-07T13:48:28.061Z,2026-27,4,231416,a,100.0,,4.4
2026-09-07T13:48:28.061Z,2026-27,4,204120,a,,,4.5
2026-09-07T13:48:28.061Z,2026-27,4,465730,a,,,4.7
2026-09-07T13:48:28.061Z,2026-27,4,83299,a,,,4.5
2026-09-07T13:48:28.061Z,2026-27,4,550090,a,,,4.5
2026-09-07T13:48:28.061Z,2026-27,4,223434,u,0.0,Has joined Burnley permanently,4.5
2026-09-07T13:48:28.061Z,2026-27,4,451490,a,,,4.5
2026-09-07T13:48:28.061Z,2026-27,4,454490,a,,,5.0
2026-09-07T13:48:28.061Z,2026-27,4,451340,i,0.0,Hamstring injury - Unknown return date,5.9
2026-09-07T13:48:28.061Z,2026-27,4,592031,i,0.0,Leg injury - Expected back 28 Nov,5.9
2026-09-07T13:48:28.061Z,2026-27,4,532529,d,50.0,Unspecified injury - 50% chance of playing,6.0
2026-09-07T13:48:28.061Z,2026-27,4,60307,a,,,5.5
2026-09-07T13:48:28.061Z,2026-27,4,463067,d,75.0,Unspecified injury - 75% chance of playing,5.5
2026-09-07T13:48:28.061Z,2026-27,4,219249,a,,,5.5
2026-09-07T13:48:28.061Z,2026-27,4,514254,a,,,5.0
2026-09-07T13:48:28.061Z,2026-27,4,536916,u,0.0,Has joined Elche on loan for the rest of the season,5.0
2026-09-07T13:48:28.061Z,2026-27,4,509416,a,100.0,,5.4
2026-09-07T13:48:28.061Z,2026-27,4,467779,i,0.0,Knee injury - Unknown return date,5.0
2026-09-07T13:48:28.061Z,2026-27,4,597320,u,0.0,Has joined Leicester City on loan for the rest of the season,4.5
2026-09-07T13:48:28.061Z,2026-27,4,549074,u,0.0,Has joined Leicester City on loan for the rest of the season,5.0
2026-09-07T13:48:28.061Z,2026-27,4,556637,a,,,4.5
2026-09-07T13:48:28.061Z,2026-27,4,700308,a,,,4.9
2026-09-07T13:48:28.061Z,2026-27,4,608181,i,0.0,Knee injury - Unknown return date,5.5
2026-09-07T13:48:28.061Z,2026-27,4,647850,a,,,5.5
2026-09-07T13:48:28.061Z,2026-27,4,487117,i,0.0,Ankle injury - Expected back 10 Oct,5.0
2026-09-07T13:48:28.061Z,2026-27,4,222694,a,100.0,,5.0
2026-09-07T13:48:28.061Z,2026-27,4,610799,a,,,5.0
2026-09-07T13:48:28.061Z,2026-27,4,538007,a,,,6.0
2026-09-07T13:48:28.061Z,2026-27,4,612855,a,,,5.0
2026-09-07T13:48:28.061Z,2026-27,4,611695,a,,,4.5
2026-09-07T13:48:28.061Z,2026-27,4,512123,a,,,4.5
2026-09-07T13:48:28.061Z,2026-27,4,519324,u,0.0,Has joined Middlesbrough on loan for the rest of the season,5.0
2026-09-07T13:48:28.061Z,2026-27,4,592984,a,,,5.5
2026-09-07T13:48:28.061Z,2026-27,4,471551,i,0.0,Unspecified injury - Expected back 13 Sep,5.5
2026-09-07T13:48:28.061Z,2026-27,4,98980,a,,,5.0
2026-09-07T13:48:28.061Z,2026-27,4,244850,a,,,7.6
2026-09-07T13:48:28.061Z,2026-27,4,56979,d,75.0,Wrist injury - 75% chance of playing,5.0
2026-09-07T13:48:28.061Z,2026-27,4,50175,a,100.0,,5.9
2026-09-07T13:48:28.061Z,2026-27,4,215059,u,0.0,Has joined Como on loan for the rest of the season,4.9
2026-09-07T13:48:28.061Z,2026-27,4,508479,u,0.0,Has joined RC Strasbourg on loan for the rest of the season,5.0
2026-09-07T13:48:28.061Z,2026-27,4,225796,a,,,5.4
2026-09-07T13:48:28.061Z,2026-27,4,180736,u,0.0,Has joined Como permanently,5.5
2026-09-07T13:48:28.061Z,2026-27,4,482609,a,,,5.0
2026-09-07T13:48:28.061Z,2026-27,4,444463,a,100.0,,5.0
2026-09-07T13:48:28.061Z,2026-27,4,242880,u,0.0,Has joined Napoli on loan for the rest of the season,4.5
2026-09-07T13:48:28.061Z,2026-27,4,551210,a,,,4.5
2026-09-07T13:48:28.061Z,2026-27,4,460028,a,,,4.9
2026-09-07T13:48:28.061Z,2026-27,4,574458,u,0.0,Has joined Real Sociedad on loan for the rest of the season,4.5
2026-09-07T13:48:28.061Z,2026-27,4,577016,a,,,4.5
2026-09-07T13:48:28.061Z,2026-27,4,620109,d,75.0,Unspecified injury - 75% chance of playing,5.4
2026-09-07T13:48:28.061Z,2026-27,4,244851,a,100.0,,9.6
2026-09-07T13:48:28.061Z,2026-27,4,247632,a,,,6.5
2026-09-07T13:48:28.061Z,2026-27,4,624773,a,,,6.4
2026-09-07T13:48:28.061Z,2026-27,4,463936,a,,,5.9
2026-09-07T13:48:28.061Z,2026-27,4,486672,d,75.0,Unspecified injury - 75% chance of playing,5.4
2026-09-07T13:48:28.061Z,2026-27,4,514356,a,,,5.0
2026-09-07T13:48:28.061Z,2026-27,4,491007,u,0.0,Has joined RC Strasbourg on loan for the rest of the season,4.5
2026-09-07T13:48:28.061Z,2026-27,4,593117,a,100.0,,5.4
2026-09-07T13:48:28.061Z,2026-27,4,475168,a,,,7.7
2026-09-07T13:48:28.061Z,2026-27,4,499309,u,0.0,Has joined RB Leipzig permanently,5.0
2026-09-07T13:48:28.061Z,2026-27,4,567119,a,,,4.5
2026-09-07T13:48:28.061Z,2026-27,4,503037,a,100.0,,5.0
2026-09-07T13:48:28.061Z,2026-27,4,437499,a,,,6.0
2026-09-07T13:48:28.061Z,2026-27,4,549939,a,,,4.5
2026-09-07T13:48:28.061Z,2026-27,4,622758,a,100.0,,4.5
2026-09-07T13:48:28.061Z,2026-27,4,543158,a,,,5.5
2026-09-07T13:48:28.061Z,2026-27,4,498444,a,,,4.9
2026-09-07T13:48:28.061Z,2026-27,4,231065,a,,,4.5
2026-09-07T13:48:28.061Z,2026-27,4,428580,a,,,4.9
2026-09-07T13:48:28.061Z,2026-27,4,472739,a,,,4.5
2026-09-07T13:48:28.061Z,2026-27,4,484389,u,0.0,Has joined Leyton Orient on loan for the rest of the season,4.0
2026-09-07T13:48:28.061Z,2026-27,4,110690,a,,,4.5
2026-09-07T13:48:28.061Z,2026-27,4,461102,a,,,4.0
2026-09-07T13:48:28.061Z,2026-27,4,436761,u,0.0,Has joined Sheffield United on loan for the rest of the season,4.0
2026-09-07T13:48:28.061Z,2026-27,4,451284,a,,,4.0
2026-09-07T13:48:28.061Z,2026-27,4,173878,a,,,4.0
2026-09-07T13:48:28.061Z,2026-27,4,465390,i,0.0,Hamstring injury - Unknown return date,4.0
2026-09-07T13:48:28.061Z,2026-27,4,80178,a,,,4.0
2026-09-07T13:48:28.061Z,2026-27,4,204813,a,,,4.0
2026-09-07T13:48:28.061Z,2026-27,4,220583,i,0.0,Knee injury - Unknown return date,4.0
2026-09-07T13:48:28.061Z,2026-27,4,577411,u,0.0,Has joined Academico de Viseu on loan for the rest of the season,4.0
2026-09-07T13:48:28.061Z,2026-27,4,539142,a,,,4.0
2026-09-07T13:48:28.061Z,2026-27,4,480457,a,100.0,,5.0
2026-09-07T13:48:28.061Z,2026-27,4,168144,a,,,5.0
2026-09-07T13:48:28.061Z,2026-27,4,501459,a,,,4.9
2026-09-07T13:48:28.061Z,2026-27,4,241293,a,100.0,,5.4
2026-09-07T13:48:28.061Z,2026-27,4,439668,a,,,4.9
2026-09-07T13:48:28.061Z,2026-27,4,226965,a,,,5.4
2026-09-07T13:48:28.061Z,2026-27,4,684268,a,,,4.5
