season,competition,kickoff_time,home,away
2025-26,UCL,2026-03-17T20:00:00Z,Arsenal,Leverkusen
2025-26,UCL,2026-03-17T20:00:00Z,Man City,Real Madrid
2025-26,UCL,2026-03-17T20:00:00Z,Chelsea,Paris
2025-26,UCL,2026-03-18T17:45:00Z,Barcelona,Newcastle
2025-26,UCL,2026-03-18T20:00:00Z,Spurs,Atleti
2025-26,UCL,2026-03-18T20:00:00Z,Liverpool,Galatasaray
2025-26,UECL,2026-03-19T17:45:00Z,AEK Larnaca,Crystal Palace
2025-26,UEL,2026-03-19T17:45:00Z,Midtjylland,Nott'm Forest
2025-26,UEL,2026-03-19T20:00:00Z,Aston Villa,Lille
2025-26,UCL,2026-04-07T19:00:00Z,Sporting CP,Arsenal
2025-26,UCL,2026-04-08T19:00:00Z,Paris,Liverpool
2025-26,UEL,2026-04-09T19:00:00Z,Bologna,Aston Villa
2025-26,UECL,2026-04-09T19:00:00Z,Crystal Palace,Fiorentina
2025-26,UEL,2026-04-09T19:00:00Z,Porto,Nott'm Forest
2025-26,UCL,2026-04-14T19:00:00Z,Liverpool,Paris
2025-26,UCL,2026-04-15T19:00:00Z,Arsenal,Sporting CP
2025-26,UEL,2026-04-16T19:00:00Z,Aston Villa,Bologna
2025-26,UEL,2026-04-16T19:00:00Z,Nott'm Forest,Porto
2025-26,UECL,2026-04-16T19:00:00Z,Fiorentina,Crystal Palace
2025-26,UCL,2026-04-29T19:00:00Z,Atleti,Arsenal
2025-26,UECL,2026-04-30T19:00:00Z,Shakhtar,Crystal Palace
2025-26,UEL,2026-04-30T19:00:00Z,Nott'm Forest,Aston Villa
2025-26,UCL,2026-05-05T19:00:00Z,Arsenal,Atleti
2025-26,UEL,2026-05-07T19:00:00Z,Aston Villa,Nott'm Forest
2025-26,UECL,2026-05-07T19:00:00Z,Crystal Palace,Shakhtar
2025-26,UEL,2026-05-20T19:00:00Z,Freiburg,Aston Villa
2025-26,UECL,2026-05-27T19:00:00Z,Crystal Palace,Rayo Vallecano
2025-26,UCL,2026-05-30T16:00:00Z,Paris,Arsenal
