season,competition,kickoff_time,home,away
2023-24,EFL,2023-08-08T18:45:00Z,Sunderland,Crewe
2023-24,EFL,2023-08-08T18:45:00Z,Stoke,West Brom
2023-24,EFL,2023-08-08T18:45:00Z,Hull City,Doncaster
2023-24,UCL,2023-09-19T16:45:00Z,Milan,Newcastle
2023-24,UCL,2023-09-19T19:00:00Z,Man City,Crvena zvezda
2023-24,UCL,2023-09-20T19:00:00Z,Arsenal,PSV
2023-24,UCL,2023-09-20T19:00:00Z,Bayern,Man Utd
2023-24,UEL,2023-09-21T16:45:00Z,LASK,Liverpool
2023-24,UEL,2023-09-21T19:00:00Z,West Ham,TSC
2023-24,UEL,2023-09-21T19:00:00Z,Brighton,AEK Athens
2023-24,UCL,2023-10-03T19:00:00Z,Man Utd,Galatasaray
2023-24,UCL,2023-10-03T19:00:00Z,Lens,Arsenal
2023-24,UCL,2023-10-04T19:00:00Z,Newcastle,Paris
2023-24,UCL,2023-10-04T19:00:00Z,Leipzig,Man City
2023-24,UEL,2023-10-05T16:45:00Z,Marseille,Brighton
2023-24,UEL,2023-10-05T16:45:00Z,Freiburg,West Ham
2023-24,UEL,2023-10-05T19:00:00Z,Liverpool,Union SG
2023-24,UCL,2023-10-24T19:00:00Z,Man Utd,Copenhagen
2023-24,UCL,2023-10-24T19:00:00Z,Sevilla,Arsenal
2023-24,UCL,2023-10-25T19:00:00Z,Newcastle,Dortmund
2023-24,UCL,2023-10-25T19:00:00Z,Young Boys,Man City
2023-24,UEL,2023-10-26T16:45:00Z,Olympiacos,West Ham
2023-24,UEL,2023-10-26T19:00:00Z,Brighton,Ajax
2023-24,UEL,2023-10-26T19:00:00Z,Liverpool,Toulouse
2023-24,UCL,2023-11-07T17:45:00Z,Dortmund,Newcastle
2023-24,UCL,2023-11-07T20:00:00Z,Man City,Young Boys
2023-24,UCL,2023-11-08T20:00:00Z,Arsenal,Sevilla
2023-24,UCL,2023-11-08T20:00:00Z,Copenhagen,Man Utd
2023-24,UEL,2023-11-09T17:45:00Z,Toulouse,Liverpool
2023-24,UEL,2023-11-09T17:45:00Z,Ajax,Brighton
2023-24,UEL,2023-11-09T20:00:00Z,West Ham,Olympiacos
2023-24,UCL,2023-11-28T20:00:00Z,Man City,Leipzig
2023-24,UCL,2023-11-28T20:00:00Z,Paris,Newcastle
2023-24,UCL,2023-11-29T17:45:00Z,Galatasaray,Man Utd
2023-24,UCL,2023-11-29T20:00:00Z,Arsenal,Lens
2023-24,UEL,2023-11-30T17:45:00Z,AEK Athens,Brighton
2023-24,UEL,2023-11-30T17:45:00Z,TSC,West Ham
2023-24,UEL,2023-11-30T20:00:00Z,Liverpool,LASK
2023-24,UCL,2023-12-12T17:45:00Z,PSV,Arsenal
2023-24,UCL,2023-12-12T20:00:00Z,Man Utd,Bayern
2023-24,UCL,2023-12-13T17:45:00Z,Crvena zvezda,Man City
2023-24,UCL,2023-12-13T20:00:00Z,Newcastle,Milan
2023-24,UEL,2023-12-14T17:45:00Z,Union SG,Liverpool
2023-24,UEL,2023-12-14T20:00:00Z,West Ham,Freiburg
2023-24,UEL,2023-12-14T20:00:00Z,Brighton,Marseille
2023-24,UCL,2024-02-13T20:00:00Z,Copenhagen,Man City
2023-24,UCL,2024-02-21T20:00:00Z,FC Porto,Arsenal
2023-24,UCL,2024-03-06T20:00:00Z,Man City,Copenhagen
2023-24,UEL,2024-03-07T17:45:00Z,Roma,Brighton
2023-24,UEL,2024-03-07T17:45:00Z,Sparta Praha,Liverpool
2023-24,UEL,2024-03-07T20:00:00Z,Freiburg,West Ham
2023-24,UCL,2024-03-12T20:00:00Z,Arsenal,FC Porto
2023-24,UEL,2024-03-14T17:45:00Z,West Ham,Freiburg
2023-24,UEL,2024-03-14T20:00:00Z,Brighton,Roma
2023-24,UEL,2024-03-14T20:00:00Z,Liverpool,Sparta Praha
2023-24,UCL,2024-04-09T19:00:00Z,Real Madrid,Man City
2023-24,UCL,2024-04-09T19:00:00Z,Arsenal,Bayern
2023-24,UEL,2024-04-11T19:00:00Z,Liverpool,Atalanta
2023-24,UEL,2024-04-11T19:00:00Z,Leverkusen,West Ham
2023-24,UCL,2024-04-17T19:00:00Z,Man City,Real Madrid
2023-24,UCL,2024-04-17T19:00:00Z,Bayern,Arsenal
2023-24,UEL,2024-04-18T19:00:00Z,Atalanta,Liverpool
2023-24,UEL,2024-04-18T19:00:00Z,West Ham,Leverkusen
