season,competition,kickoff_time,home,away
2024-25,UCL,2024-09-17T16:45:00Z,Young Boys,Aston Villa
2024-25,UCL,2024-09-17T19:00:00Z,Milan,Liverpool
2024-25,UCL,2024-09-18T19:00:00Z,Man City,Inter
2024-25,UCL,2024-09-19T19:00:00Z,Atalanta,Arsenal
2024-25,UCL,2024-10-01T19:00:00Z,Arsenal,Paris
2024-25,UCL,2024-10-01T19:00:00Z,S. Bratislava,Man City
2024-25,UCL,2024-10-02T19:00:00Z,Liverpool,Bologna
2024-25,UCL,2024-10-02T19:00:00Z,Aston Villa,Bayern München
2024-25,UCL,2024-10-22T19:00:00Z,Arsenal,Shakhtar
2024-25,UCL,2024-10-22T19:00:00Z,Aston Villa,Bologna
2024-25,UCL,2024-10-23T19:00:00Z,Man City,Sparta Praha
2024-25,UCL,2024-10-23T19:00:00Z,Leipzig,Liverpool
2024-25,UCL,2024-11-05T20:00:00Z,Liverpool,Leverkusen
2024-25,UCL,2024-11-05T20:00:00Z,Sporting CP,Man City
2024-25,UCL,2024-11-06T17:45:00Z,Club Brugge,Aston Villa
2024-25,UCL,2024-11-06T20:00:00Z,Inter,Arsenal
2024-25,UCL,2024-11-26T20:00:00Z,Man City,Feyenoord
2024-25,UCL,2024-11-26T20:00:00Z,Sporting CP,Arsenal
2024-25,UCL,2024-11-27T20:00:00Z,Liverpool,Real Madrid
2024-25,UCL,2024-11-27T20:00:00Z,Aston Villa,Juventus
2024-25,UCL,2024-12-10T17:45:00Z,Girona,Liverpool
2024-25,UCL,2024-12-10T20:00:00Z,Leipzig,Aston Villa
2024-25,UCL,2024-12-11T20:00:00Z,Juventus,Man City
2024-25,UCL,2024-12-11T20:00:00Z,Arsenal,Monaco
2024-25,UCL,2025-01-21T17:45:00Z,Monaco,Aston Villa
2024-25,UCL,2025-01-21T20:00:00Z,Liverpool,Lille
2024-25,UCL,2025-01-22T20:00:00Z,Paris,Man City
2024-25,UCL,2025-01-22T20:00:00Z,Arsenal,GNK Dinamo
2024-25,UCL,2025-01-29T20:00:00Z,PSV,Liverpool
2024-25,UCL,2025-01-29T20:00:00Z,Man City,Club Brugge
2024-25,UCL,2025-01-29T20:00:00Z,Aston Villa,Celtic
2024-25,UCL,2025-01-29T20:00:00Z,Girona,Arsenal
2024-25,UCL,2025-02-11T20:00:00Z,Man City,Real Madrid
2024-25,UCL,2025-02-19T20:00:00Z,Real Madrid,Man City
2024-25,UCL,2025-03-04T17:45:00Z,Club Brugge,Aston Villa
2024-25,UCL,2025-03-04T20:00:00Z,PSV,Arsenal
2024-25,UCL,2025-03-05T20:00:00Z,Paris,Liverpool
2024-25,UCL,2025-03-11T20:00:00Z,Liverpool,Paris
2024-25,UCL,2025-03-12T20:00:00Z,Aston Villa,Club Brugge
2024-25,UCL,2025-03-12T20:00:00Z,Arsenal,PSV
2024-25,UCL,2025-04-08T19:00:00Z,Arsenal,Real Madrid
2024-25,UCL,2025-04-09T19:00:00Z,Paris,Aston Villa
2024-25,UCL,2025-04-15T19:00:00Z,Aston Villa,Paris
2024-25,UCL,2025-04-16T19:00:00Z,Real Madrid,Arsenal
2024-25,UCL,2025-04-29T19:00:00Z,Arsenal,Paris
2024-25,UCL,2025-05-07T19:00:00Z,Paris,Arsenal
2024-25,UEL,2024-09-25T19:00:00Z,Man Utd,Twente
2024-25,UEL,2024-09-26T19:35:00Z,Spurs,Qarabag
2024-25,UEL,2024-10-03T16:45:00Z,Ferencváros,Spurs
2024-25,UEL,2024-10-03T19:00:00Z,Porto,Man Utd
2024-25,UEL,2024-10-24T19:00:00Z,Spurs,AZ Alkmaar
2024-25,UEL,2024-10-24T19:00:00Z,Fenerbahçe,Man Utd
2024-25,UEL,2024-11-07T17:45:00Z,Galatasaray,Spurs
2024-25,UEL,2024-11-07T20:00:00Z,Man Utd,PAOK
2024-25,UEL,2024-11-28T20:00:00Z,Man Utd,Bodø/Glimt
2024-25,UEL,2024-11-28T20:00:00Z,Spurs,Roma
2024-25,UEL,2024-12-12T17:45:00Z,Viktoria Plzen,Man Utd
2024-25,UEL,2024-12-12T20:00:00Z,Rangers,Spurs
2024-25,UEL,2025-01-23T17:45:00Z,Hoffenheim,Spurs
2024-25,UEL,2025-01-23T20:00:00Z,Man Utd,Rangers
2024-25,UEL,2025-01-30T20:00:00Z,Spurs,Elfsborg
2024-25,UEL,2025-01-30T20:00:00Z,FCSB,Man Utd
2024-25,UEL,2025-03-06T17:45:00Z,AZ Alkmaar,Spurs
2024-25,UEL,2025-03-06T17:45:00Z,Real Sociedad,Man Utd
2024-25,UEL,2025-03-13T20:00:00Z,Spurs,AZ Alkmaar
2024-25,UEL,2025-03-13T20:00:00Z,Man Utd,Real Sociedad
2024-25,UEL,2025-04-10T19:00:00Z,Spurs,Frankfurt
2024-25,UEL,2025-04-10T19:00:00Z,Lyon,Man Utd
2024-25,UEL,2025-04-17T19:00:00Z,Frankfurt,Spurs
2024-25,UEL,2025-04-17T19:00:00Z,Man Utd,Lyon
2024-25,UEL,2025-05-01T19:00:00Z,Spurs,Bodø/Glimt
2024-25,UEL,2025-05-01T19:00:00Z,Athletic Club,Man Utd
2024-25,UEL,2025-05-08T19:00:00Z,Bodø/Glimt,Spurs
2024-25,UEL,2025-05-08T19:00:00Z,Man Utd,Athletic Club
2024-25,UEL,2025-05-21T19:00:00Z,Spurs,Man Utd
2024-25,UECL,2024-10-03T19:00:00Z,Chelsea,Gent
2024-25,UECL,2024-10-24T16:45:00Z,Panathinaikos,Chelsea
2024-25,UECL,2024-11-07T20:00:00Z,Chelsea,Noah
2024-25,UECL,2024-11-28T17:45:00Z,Heidenheim,Chelsea
2024-25,UECL,2024-12-12T15:30:00Z,Astana,Chelsea
2024-25,UECL,2024-12-19T20:00:00Z,Chelsea,Shamrock Rovers
2024-25,UECL,2025-03-06T17:45:00Z,Copenhagen,Chelsea
2024-25,UECL,2025-03-13T20:00:00Z,Chelsea,Copenhagen
2024-25,UECL,2025-04-10T16:45:00Z,Legia Warszawa,Chelsea
2024-25,UECL,2025-04-17T19:00:00Z,Chelsea,Legia Warszawa
2024-25,UECL,2025-05-01T19:00:00Z,Djurgården,Chelsea
2024-25,UECL,2025-05-08T19:00:00Z,Chelsea,Djurgården
2024-25,UECL,2025-05-28T19:00:00Z,Real Betis,Chelsea
