season,competition,kickoff_time,home,away
2022-23,EFL,2022-08-09T19:45:00Z,Ipswich,Colchester
2022-23,EFL,2022-08-09T19:45:00Z,Luton,Newport
2022-23,EFL,2022-08-09T19:45:00Z,Norwich,Birmingham
2022-23,UCL,2022-09-06T16:45:00Z,Dinamo Zagreb,Chelsea
2022-23,UCL,2022-09-06T19:00:00Z,Sevilla,Man City
2022-23,UCL,2022-09-07T19:00:00Z,Napoli,Liverpool
2022-23,UCL,2022-09-07T19:00:00Z,Spurs,Marseille
2022-23,UEL,2022-09-08T16:45:00Z,Zürich,Arsenal
2022-23,UEL,2022-09-08T19:00:00Z,Man Utd,Real Sociedad
2022-23,UCL,2022-09-13T16:45:00Z,Sporting CP,Spurs
2022-23,UCL,2022-09-13T19:00:00Z,Liverpool,Ajax
2022-23,UCL,2022-09-14T19:00:00Z,Chelsea,Salzburg
2022-23,UCL,2022-09-14T19:00:00Z,Man City,Dortmund
2022-23,UEL,2022-09-15T16:45:00Z,Sheriff,Man Utd
2022-23,UCL,2022-10-04T19:00:00Z,Liverpool,Rangers
2022-23,UCL,2022-10-04T19:00:00Z,Frankfurt,Spurs
2022-23,UCL,2022-10-05T19:00:00Z,Chelsea,Milan
2022-23,UCL,2022-10-05T19:00:00Z,Man City,Copenhagen
2022-23,UEL,2022-10-06T16:45:00Z,Omonoia,Man Utd
2022-23,UEL,2022-10-06T19:00:00Z,Arsenal,Bodø/Glimt
2022-23,UCL,2022-10-11T16:45:00Z,Copenhagen,Man City
2022-23,UCL,2022-10-11T19:00:00Z,Milan,Chelsea
2022-23,UCL,2022-10-12T19:00:00Z,Spurs,Frankfurt
2022-23,UCL,2022-10-12T19:00:00Z,Rangers,Liverpool
2022-23,UEL,2022-10-13T16:45:00Z,Bodø/Glimt,Arsenal
2022-23,UEL,2022-10-13T19:00:00Z,Man Utd,Omonoia
2022-23,UEL,2022-10-20T17:00:00Z,Arsenal,PSV
2022-23,UCL,2022-10-25T16:45:00Z,Salzburg,Chelsea
2022-23,UCL,2022-10-25T19:00:00Z,Dortmund,Man City
2022-23,UCL,2022-10-26T19:00:00Z,Ajax,Liverpool
2022-23,UCL,2022-10-26T19:00:00Z,Spurs,Sporting CP
2022-23,UEL,2022-10-27T16:45:00Z,PSV,Arsenal
2022-23,UEL,2022-10-27T19:00:00Z,Man Utd,Sheriff
2022-23,UCL,2022-11-01T20:00:00Z,Marseille,Spurs
2022-23,UCL,2022-11-01T20:00:00Z,Liverpool,Napoli
2022-23,UCL,2022-11-02T20:00:00Z,Man City,Sevilla
2022-23,UCL,2022-11-02T20:00:00Z,Chelsea,Dinamo Zagreb
2022-23,UEL,2022-11-03T17:45:00Z,Real Sociedad,Man Utd
2022-23,UEL,2022-11-03T20:00:00Z,Arsenal,Zürich
2022-23,UCL,2023-02-14T20:00:00Z,Milan,Spurs
2022-23,UCL,2023-02-15T20:00:00Z,Dortmund,Chelsea
2022-23,UEL,2023-02-16T17:45:00Z,Barcelona,Man Utd
2022-23,UCL,2023-02-21T20:00:00Z,Liverpool,Real Madrid
2022-23,UCL,2023-02-22T20:00:00Z,Leipzig,Man City
2022-23,UEL,2023-02-23T20:00:00Z,Man Utd,Barcelona
2022-23,UCL,2023-03-07T20:10:00Z,Chelsea,Dortmund
2022-23,UCL,2023-03-08T20:10:00Z,Spurs,Milan
2022-23,UEL,2023-03-09T17:45:00Z,Sporting CP,Arsenal
2022-23,UEL,2023-03-09T20:00:00Z,Man Utd,Betis
2022-23,UCL,2023-03-14T20:00:00Z,Man City,Leipzig
2022-23,UCL,2023-03-15T20:00:00Z,Real Madrid,Liverpool
2022-23,UEL,2023-03-16T17:45:00Z,Betis,Man Utd
2022-23,UEL,2023-03-16T20:00:00Z,Arsenal,Sporting CP
2022-23,UCL,2023-04-11T19:00:00Z,Man City,Bayern
2022-23,UCL,2023-04-12T19:00:00Z,Real Madrid,Chelsea
2022-23,UEL,2023-04-13T19:00:00Z,Man Utd,Sevilla
2022-23,UCL,2023-04-18T19:00:00Z,Chelsea,Real Madrid
2022-23,UCL,2023-04-19T19:00:00Z,Bayern,Man City
2022-23,UEL,2023-04-20T19:00:00Z,Sevilla,Man Utd
2022-23,UCL,2023-05-09T19:00:00Z,Real Madrid,Man City
2022-23,UCL,2023-05-17T19:00:00Z,Man City,Real Madrid
2022-23,UCL,2023-06-10T19:00:00Z,Man City,Inter
